"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",,"X","X.1","Compatibilidad",,,
1,1,"Grupo A",401,3,1,0,1,0,1,371,1906,1439,26,"You bought Christine ice cream","12/22/2016","comprehension","n","n","n","467",,"","",0,,,
2,0,"Grupo A",401,3,2,1,0,0,1,281,2224,1874,13,"Sara transmitted the orders to you","12/22/2016","comprehension","n","n","n","350",,"","",0,,,
3,0,"Grupo A",401,3,3,1,1,0,1,267,1853,1639,33,"You dedicated the song to John","12/22/2016","comprehension","n","n","n","214",,"","",1,,,
12,0,"Grupo A",401,3,12,1,0,0,1,225,2528,1304,18,"Amanda paid you tribute","12/22/2016","comprehension","n","n","n","1224",,"","",0,,,
14,0,"Grupo A",401,3,14,1,1,0,1,214,1740,1647,32,"You devoted your time to Tiana","12/22/2016","comprehension","n","n","n","93",,"","",1,,,
16,0,"Grupo A",401,3,16,0,1,0,1,331,2008,1511,28,"You handed Courtney the notebook","12/22/2016","comprehension","n","n","n","497",,"","",0,,,
17,0,"Grupo A",401,3,17,0,0,0,1,291,1964,1693,4,"Jeff entrusted the key to you","12/22/2016","comprehension","n","n","n","271",,"","",1,,,
20,0,"Grupo A",401,3,20,0,0,0,1,396,1504,1684,2,"Vincent donated money to you","12/22/2016","comprehension","n","n","n","-180",,"","",1,,,
24,0,"Grupo A",401,3,24,0,0,0,1,281,1876,1579,5,"Katie handed the puppy to you","12/22/2016","comprehension","n","n","n","297",,"","",1,,,
26,0,"Grupo A",401,3,26,0,1,0,1,273,1569,1321,24,"You drove the car to Amber","12/22/2016","comprehension","n","n","n","248",,"","",0,,,
28,0,"Grupo A",401,3,28,0,1,0,1,315,1817,1293,29,"You hit Paul the baseball","12/22/2016","comprehension","n","n","n","524",,"","",0,,,
30,0,"Grupo A",401,3,30,1,1,0,1,210,1636,1579,37,"You offered Chris some writing tips","12/22/2016","comprehension","n","n","n","57",,"","",1,,,
32,0,"Grupo A",401,3,32,1,1,0,1,170,1511,1635,35,"You gave Jesse another chance","12/22/2016","comprehension","n","n","n","-124",,"","",1,,,
34,0,"Grupo A",401,3,34,0,0,0,1,280,1640,1623,8,"Shawn shot you the rubber band","12/22/2016","comprehension","n","n","n","17",,"","",1,,,
38,0,"Grupo A",401,3,38,0,0,0,1,287,1483,1347,9,"Mike rolled you the marble","12/22/2016","comprehension","n","n","n","136",,"","",1,,,
39,0,"Grupo A",401,3,39,1,1,0,1,269,1632,1126,39,"You taught him a lesson","12/22/2016","comprehension","n","n","n","506",,"","",1,,,
40,0,"Grupo A",401,3,40,1,1,0,1,252,1655,1307,38,"You blew your sister a kiss","12/22/2016","comprehension","n","n","n","348",,"","",1,,,
43,0,"Grupo A",401,3,43,1,1,0,1,277,1407,1507,40,"You pitched Andy the idea","12/22/2016","comprehension","n","n","n","-100",,"","",1,,,
48,0,"Grupo A",401,3,48,1,0,0,1,287,1492,1277,19,"Liz told you the story","12/22/2016","comprehension","n","n","n","215",,"","",0,,,
53,0,"Grupo A",401,3,53,0,0,0,1,445,1620,1473,10,"Your dad poured you some water","12/22/2016","comprehension","n","n","n","147",,"","",1,,,
54,0,"Grupo A",401,3,54,0,1,0,1,303,1765,1485,22,"You awarded a medal to Helen","12/22/2016","comprehension","n","n","n","280",,"","",0,,,
55,0,"Grupo A",401,3,55,0,1,0,1,322,1776,1681,21,"You delivered the Pizza to Andy","12/22/2016","comprehension","n","n","n","95",,"","",0,,,
58,0,"Grupo A",401,3,58,1,0,0,1,332,1642,1371,20,"Your family sent you regards","12/22/2016","comprehension","n","n","n","271",,"","",0,,,
60,0,"Grupo A",401,3,60,1,0,0,1,620,2128,2138,15,"Anna transferred responsibility to you","12/22/2016","comprehension","n","n","n","-10",,"","",0,,,
65,0,"Grupo A",401,3,65,1,1,0,1,325,2175,1837,31,"You bestowed the honor upon Art","12/22/2016","comprehension","n","n","n","338",,"","",1,,,
66,0,"Grupo A",401,3,66,1,0,0,1,283,1906,1724,17,"You received the complaint from Ian","12/22/2016","comprehension","n","n","n","182",,"","",0,,,
71,0,"Grupo A",401,3,71,0,0,0,1,341,1638,1523,7,"Joe kicked you the soccer ball","12/22/2016","comprehension","n","n","n","115",,"","",1,,,
73,0,"Grupo A",401,3,73,1,0,0,1,299,2211,2184,14,"The policeman radioed the message to you","12/22/2016","comprehension","n","n","n","27",,"","",0,,,
74,0,"Grupo A",401,3,74,1,1,0,1,241,1860,1390,34,"You sang Jenni a song","12/22/2016","comprehension","n","n","n","470",,"","",1,,,
77,0,"Grupo A",401,3,77,1,0,0,1,227,1793,1647,16,"Dan confessed his secret to you","12/22/2016","comprehension","n","n","n","146",,"","",0,,,
78,0,"Grupo A",401,3,78,1,0,0,1,237,2290,1501,12,"Mike sold the land to you","12/22/2016","comprehension","n","n","n","789",,"","",0,,,
